Genero,Artista,Titulo,Cancion
Pop Rock,Camila,En Mi Getsêmani,"Para que mi amor no sea un sentimiento
Tan solo un deslumbramiento pasajero
Para no gastar las palabras más mías
Ni vaciar de contenido mi te quiero

Quiero hundir más hondo mis raíces en ti
Y cimentar en solidez este mi afecto
Pues mi corazón que es inquieto y es frágil
Solo acierta si se abraza a tu proyecto

Más allá de mis miedos
Más allá de mi inseguridad
Quiero darte mi respuesta
Aquí estoy para hacer tu voluntad
Para que mi amor sea decirte sí
Hasta el final

Duerme su sopor y temen en el huerto
Ni sus amigos acompañan al maestro
Si es hora de cruz es de fidelidades
Pero el mundo nunca quiere aceptar esto

Dame a comprender Señor tu amor tan puro
Amor que persevera en cruz amor perfecto
Hazme serte fiel cuando todo es oscuro
Para que mi amor sea más que un sentimiento

Más allá de mis miedos
Más allá de mi inseguridad
Quiero darte mi respuesta
Aquí estoy para hacer tu voluntad
Para que mi amor sea decirte sí
Hasta el final

No es en las palabras ni es en las promesas
Donde la historia tiene su motor secreto
Solo es el amor en la cruz madurado
El amor que mueve todo el universo
Pongo mi pequeña vida hoy en tus manos
Sobre mis inseguridades y mis miedos
Y para no hacer mi querer sino el tuyo
Hazte mi Getsemaní fiel y despierto

Más allá de mis miedos
Más allá de mi inseguridad
Quiero darte mi respuesta
Aquí estoy para hacer tu voluntad
Para que mi amor sea decirte sí
Hasta el final"
Pop Rock,Camila,Fugitivos,"No le tengo miedo a una segunda parte
Para empezar de nuevo nunca es tarde
Los que dicen todo lo que empieza acaba
Del amor yo creo que no saben nada

Si es contigo volvería a dar el salto
A subir mil veces a este mismo barco
Si es contigo no quiero tomar atajos
Porque amar es ir por el camino largo

Y ser fugitivos
De las heridas que un día nos hicimos
Y encontrar lo que ayer dimos por perdido

Y regresar a donde todo comenzó
Al mismo camino y en la misma dirección
Al vestido blanco, a bailar nuestra canción
Al primer beso que te di
A ese día en que dijiste sí

Tú y yo vamos lento porque vamos lejos
Que esta nueva historia empiece en un lo siento
Si hay que dar un paso démoslo adelante
Porque ya no somos los que fuimos antes

Imagina que volvemos a intentarlo
Pero que esta vez lo hacemos sin planearlo
Imagina que esta vez ya no te suelto
Y que sale bien después de tanto tiempo

Y ser fugitivos
De las heridas que un día nos hicimos
Y encontrar lo que ayer dimos por perdido

Y regresar a donde todo comenzó
Al mismo camino y en la misma dirección
Al vestido blanco, a bailar nuestra canción
Al primer beso que te di
A ese día en que dijiste
Sí"
Pop Rock,Camila,Nanga Ti Feo,"Pagueni cabena espadaguime
Pagueni cabena neshalulu
Jushila kar de nanga espidolo
Jushila kar de nanga espidolo

Nanga ti feo, ti feo ninameni
Neguidubi das indommen
Neseshedanameni

Nanga ti feo, ti feo ninameni
Neguidubi das indommen
Neseshedanameni

Si alguien te habla de mí, mi negrita
Si alguien te habla de mí en tu presencia
Diles que yo soy tu negro santo
Diles que yo soy tu negro santo

Yo soy un feo, un feo que sabe amar
Con todo su corazón y que no te ha de olvidar
Yo soy un feo, un feo que sabe amar
Con todo su corazón y que no te ha de olvidar

Pagueni cabena espadaguime
Pagueni cabena neshalulu
Jushila kar de nanga espidolo
Jushila kar de nanga espidolo

Nanga ti feo, ti feo ninameni
Neguidubi das indommen
Neseshedanameni

Nanga ti feo, ti feo ninameni
Neguidubi das indommen
Neseshedanameni"
Pop Rock,Camila,Entre Tus Alas,"Siempre fui esclavo de la libertad
De esos que saben flotar
Y que besan el cielo

Y hasta a que apareciste por ahí
Me decidí aterrizar y quedarme en tu suelo

Descubrí mi fe en tu ilusión
Mi alma reconoció tu voz y así
Se fue detrás de ti mi corazón

Vuelo entre tus alas, despierto entre tu calma
Y mi paz (y mi paz), y mi razón
Viajo en tu mirada, me elevas
Soy mejor de lo que fui por ti, amor

Y hasta hoy
Pensaba que era libertad
Estaba en otro lugar
Y hoy la llevo por dentro

Me asome al laberinto de tu amor
Aquí encontré mi verdad
Y en ti esta lo que quiero

Descubrí mi fe en tu ilusión
Mi alma reconoció tu voz y así
Se fue detrás de ti mi corazón

Vuelo entre tus alas, despierto entre tu calma
Y mi paz (y mi paz), y mi razón

Viajo en tu mirada me elevas
Soy mejor de lo que fui por ti amor

Viajo en tu mirada me elevas
Soy mejor de lo que fui por ti amor

Siempre fui esclavo de la libertad
Contigo puedo tocar
Lo que soñé tanto tiempo"
Pop Rock,Camila,Nueve Meses,"Al mes había perdido lo que tanto guarde
Sentí en mi cuerpo el adelanto
De lo que cambiaría mi vida para siempre
Así comencé a quererte

En tres meses ya me estaba transformando
En alguien que ni yo reconocía
Las piernas, la espalda, el corazón, todo me dolía

Así empecé a sentirme sola
Y yo que no veía la hora
Te estás aproximando, seis meses
Vomitando no van a hacer
Que esta mujer se rinda hasta cumplir

Nueve meses por ti
Repetiría tantas veces
Sentir este dolor
Morir por este amor

No puedo imaginarme
Que creces dentro de mí
Que no me perteneces

Quizás lo entenderás
Cuando regreses
Y se repita el ciclo
No es fácil, pero volvería
A esperar nueve meses

Tenía tanto miedo de fallar
Perder lo que un día fui
Me hacía temblar
Saberme egoísta
Y que todos mis defectos
En ti se podían reflejar

Llegué a los ocho
Y yo ya me sentía
Modelo de Botero
En lencería

La peor de las personas
Sobredosis de hormonas
Me urgía que llegara el día

Así empecé a sentirme sola
Y yo que no veía la hora
Te estás aproximando, seis meses
Vomitando no van a hacer
Que esta mujer se rinda hasta cumplir

Nueve meses por ti
Repetiría tantas veces
Sentir este dolor
Morir por este amor

No puedo imaginarme
Que creces dentro de mí
Que no me perteneces

Quizás lo entenderás
Cuando regreses
Y se repita el ciclo
Porque algo
Sí te puedo asegurar

No es fácil
Pero volvería a entregar
Mi cuerpo al milagro
De esperar nueve meses
Nueve meses"
Pop Rock,Camila,Decidiste Dejarme,"Me envenenaste el silencio
Se fue mi aire detrás de ti
Me arrebataste hasta el suelo
Me tiraste y me rompí

Y fue una bomba de tiempo
Todo el dolor que dejaste aquí
Pero después del incendio
De nuevo quieres derrumbar
Lo que quedo de mi

Tu decidiste dejarme
Tu disparaste primero
Ni se te ocurra acercarte
No te perdono ni quiero
Nada mas de ti y aunque tu recuerdo arde
No voy a caer otra vez llegaste tarde

Y no es cuestión de egoísmo
No fue tan fácil dejarte ir
Quieres que juegue a lo mismo
Correr detrás de ti

Te quise y no me arrepiento
Porque me llevo lo que aprendí
Aveces ganas perdiendo
Y no hay manera de fallar
Si das como te di

Tu decidiste dejarme
Tu disparaste primero
Ni se te ocurra acercarte
No te perdono ni quiero
Nada mas de ti y aunque tu recuerdo arde
No voy a caer otra vez llegaste tarde

Al final la vida pone a cada quien en su lugar
Eso es lo que pasa cuando tratas de tocar el fuego

Tu decidiste dejarme
Tu disparaste primero
Ni se te ocurra acercarte
No te perdono ni quiero
Nada mas de ti y aunque tu recuerdo arde
No voy a caer otra vez llegaste tarde"
Pop Rock,Camila,Dejarte de Amar,"Juras que veras mi corazón cayendo a tierra
Piensas que sin ti la soledad gano la guerra

Quemaré toda la ciudad
Antes de caer, no me hundiré jamás
No voy a caminar hacia el abismo
No soy el mismo, no soy el mismo
No soy el mismo, no soy el mismo, no

Hoy me quiero perdonar y curarme con el tiempo
Escapar de aquí, renunciar a ti, aceptar que no fuiste para mí
Quisiera continuar nunca haberte conocido
Pero aquí estas y tengo que aceptar
Que me cuesta cambiar lo que siento y dejarte de amar

Miro a contraluz y así me voy desvaneciendo
Solo nos quedó dolor flotando en el silencio

Quemaré toda la ciudad
Hacías de caer, no me hundiré jamás
No voy a caminar hacia el abismo
No soy el mismo, no soy el mismo
No soy el mismo, no soy el mismo, no

Hoy me quiero perdonar y curarme con el tiempo
Escapar de aquí, renunciar a ti, aceptar que no fuiste para mí
Quisiera continuar nunca haberte conocido
Pero aquí estas y tengo que aceptar
Que me cuesta cambiar lo que siento y dejarte de amar"
Pop Rock,Camila,picick,"Le digo hola y ella me dice goodbye
Le digo nena como tú ya no hay
Dice que tiene novio, pero yo no le creo
Y es que se complica cada vez que la veo ehhh ohhh

Suena la música
Y lo que yo quiero
Es bailar contigo nena, pero yo no puedo
No puedo
Me dice yo no quiero
Pero se complica yo no entiendo porque es tan

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No sé lo que le pasa
Conmigo ella no quiere bailar

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No sé lo que le pasa
Conmigo ella no quiere bailar

Ella me gusta pero nunca me hace caso
Ella me mira como si fuera un payaso
Y aunque lo intente al final no tiene caso
Dime que pasó, cual es tu rechazo
Why?
Me ignoras y te das la vuelta sin siquiera hablarme
Tell me why?
Pero dime como hacer
Para convencerla a usted
Si yo quería hablarle
Saludarle
Conocerla bien
Yo quería dercile
Que me encanta
Pero se complica, yo no entiendo porque es tan

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No se lo que le pasa
Conmigo ella no quiere bailar

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No sé lo que le pasa
Conmigo ella no quiere bailar

Nena, tú lo sabes llevo tiempo tras de ti ah
Y es que yo no entiendo porque tú me tratas así ah
Y yo lo único que quiero es bailar
Y tú me vez te das la vuelta y te vas

Le digo hola y ella me dice goodbye
Le digo nena como tú ya no hay
Dice que tiene novio, pero yo no le creo
Y es que se complica cada vez que la veo ehhh ohhh

Suena la música
Y lo que yo quiero
Es bailar contigo nena, pero yo no puedo
No puedo
Me dice yo no quiero
Pero se complica yo no entiendo porque es tan

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No se lo que le pasa
Conmigo ella no quiere bailar

Picky picky picky picky picky picky
Demasiado picky picky picky picky picky
Si yo le salgo por la izquierda
Se va pa' la derecha
No sé lo que le pasa
Conmigo ella no quiere bailar

De verdad no entiendo que pasa, porque se hace la difícil y ella
(Conmigo ella no quiere bailar)
He hecho de todo, pero de verdad no sé
(Conmigo ella no quiere bailar)
Ey Joey Montana
Yoo Predi
Predi!
Back to the roots
Conmigo ella no quiere bailar"
Pop Rock,Camila,Bésame,"Voglio te
Non mi sbaglio
Sento che è diverso
Penso a te ogni giorno
E no è solo sesso

Besame
Adesso rido e sono fatto di te
Besame
Tu credimi sincero vivo per te
Non saro quello che
Ti racconta favole
Besame

Fragole
In inverno è cosi che ti sento
Lascerò
Tempo al tempo
È cosi che sopravvivo

Besame
Adesso rido e sono fatto di te
Besame
Tu credimi sincero vivo per te
Voglio te solo te
Altro spazio non ne ho
Besame

Besame
Stai con me
Perchè la vita è troppo amara da se

Besame (besame)
Ho pronto un angolo di cielo per te
Voglio te (voglio te)
Solo te (solo te)
Anche se ti perderò
Stai con me

Fermati qui ancora un po
Dimmelo tu ed entrerò
Per sempre nella tua vita
E ne morirò (e ne morirò)
Perchè vedo in te la metà di me"
Pop Rock,Camila,Me Enamoro Sin Querer,"Me enamoro sin querer
Cuando menos lo esperaba
Cambio mi forma de ser
Me enseño amar con el alma

No es su cuerpo ni belleza
Lo que me hace enloquecer
Es lo que hay en su cabeza
Y en su corazón
Lo que la hace tan mujer

La vida te da sorpresas
Sorpresas te da la vida
Pa mi no hay mujeres feas
Todo depende
Del cristal con que las veas

Me enamore de verdad
Aunque nadie me lo crea
Me vale que los demás digan
Siempre que ella es fea

No es modelo
Ni es perfecta
Pero me hace enloquecer
Es lo que hay en su cabeza
Y en su corazón
Lo que la hace tan mujer

La vida te da sorpresas
Sorpresas te da la vida
Para mi no hay mujeres feas
Todo depende del cristal
Con que las veas

La vida te da sorpresas
Sorpresas te da la vida
Para mi no hay mujeres feas

Y aunque le digan fea
Tal vez es fea
Pero es mi fea
Y es la dueña de mi vida
Y es la dueña de mi vida"
